ref_area,indicator,source,sex,classif1,time,obs_value
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2014,32.98
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2014,39.8
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2014,30.84
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2014,32.33
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2014,40.81
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2014,29.68
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2014,33.63
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2014,38.81
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2014,31.99
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2013,32.72
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2013,39.28
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2013,30.67
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2013,32.4
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2013,40.3
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2013,29.95
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2013,33.04
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2013,38.26
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2013,31.39
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2012,32.64
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2012,38.89
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2012,30.69
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2012,32.65
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2012,39.93
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2012,30.41
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2012,32.62
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2012,37.85
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2012,30.98
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2011,33.2
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2011,39.09
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2011,31.39
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2011,33.51
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2011,40.12
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2011,31.5
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2011,32.88
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2011,38.05
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2011,31.27
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2010,32.13
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2010,38.04
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2010,30.34
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE15,2010,32.23
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_Y15-24,2010,39.05
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_M,AGE_YTHADULT_YGE25,2010,30.2
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE15,2010,32.04
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_Y15-24,2010,37.05
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_F,AGE_YTHADULT_YGE25,2010,30.48
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2009,31.75
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2009,38.1
