country,population,region,est_modern_slavery_per_1000_population,est_people_in_modern_slavery,governance_issues,lack_of_basic_needs,inequality,disenfranchised_groups,effects_of_conflict,total_vulnerability_score_percent,slavery_survivors_remain_out_of_slavery_percent,criminal_justice_prevents_modern_slavery_percent,government_coordination_and_response_accountability_percent,social_risks_address_modern_slavery_percent,government_and_businesses_dont_source_forced_labor_percent,total_government_response_percent
Burundi,11891000,Africa,7.5060715675354,89000,76.55167017977944,58.46507024232742,53.7088644,76.1595757805366,45.62907182946302,76.69894916041535,22.72727203369141,42.30769348144531,62.5,14.2857141494751,0,29.48717880249023
Cambodia,16719000,Asia and the Pacific,4.982629299163818,83000,60.1715031419185,56.04551284311907,42.52129830273979,62.92319461444308,22.43470351234706,57.6433208103472,40.90909194946289,46.15384674072266,75,42.85714340209961,0,42.30769348144531
Cameroon,26546000,Africa,5.846192359924316,155000,58.03814985056079,50.26469140659457,56.08478711420084,76.34746022031824,74.97575315378943,70.47543238772427,54.54545593261719,46.15384674072266,37.5,35.71428680419922,0,41.02564239501953
Canada,37742000,Americas,1.82606041431427,69000,12.69019335783894,27.5967553826042,17.9918109104309,25.17596899224806,27.01388089606717,10.71290950739265,59.09090805053711,57.69230651855469,75,78.57142639160156,25,60.25640869140625
Cape Verde,0,Africa,,,,,,,,,22.72727203369141,34.61538314819336,50,42.85714340209961,0,30.76922988891602
Central African Republic,4830000,Africa,5.247385025024414,25000,76.35534704383751,75.54228279071668,84.89301681518549,80.80752753977967,83.40764332181236,97.66674312431343,22.72727203369141,42.30769348144531,25,21.4285717010498,0,26.92307662963867
Chad,16426000,Africa,5.881432056427002,97000,85.79317077826245,54.83341136542403,55.59475004009603,79.63984088127296,56.74572315426544,83.53713091668155,13.6363639831543,38.46154022216797,12.5,35.71428680419922,0,24.35897445678711
Chile,19116000,Americas,3.173375844955444,61000,19.60399039723627,23.99359878967149,37.2444176019694,45.64241126070991,27.77045533919059,22.08558806059161,54.54545593261719,69.23076629638672,50,64.28571319580078,0,55.12820434570313
China,1439324000,Asia and the Pacific,4.009806632995605,5771000,50.7144874413175,29.82570623127837,35.54006425498454,67.72474500203998,33.90280521358012,45.54358168885896,40.90909194946289,46.15384674072266,50,35.71428680419922,12.5,39.74359130859375
Colombia,50883000,Americas,7.808035373687744,397000,44.03487775641067,31.77651774119211,61.59177111970622,58.49685842513259,57.83152150988189,51.39640023080491,45.45454406738281,46.15384674072266,62.5,57.14285659790039,12.5,46.15384674072266
Costa Rica,5094000,Americas,3.193997383117676,16000,29.32061594143851,26.2082958142824,42.00474926595054,33.33886168910649,14.06856174390367,23.81494490419098,50,61.53845977783203,62.5,50,12.5,51.28205108642578
Côte d'Ivoire,26378000,Africa,7.312020301818848,193000,61.23679139089283,38.51490699237087,56.10548265677896,62.63815789473684,39.08643405446128,58.62020435305695,18.18181800842285,50,62.5,42.85714340209961,12.5,37.17948532104492
