country,country_code,indicator_name,indicator_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ireland,IRL,Gini index,SI.POV.GINI,33.0,,32.3,32.9,33.6,33.8,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,31.8,32.8,31.4,30.6,30.8,29.2,,
"Iran, Islamic Rep.",IRN,Gini index,SI.POV.GINI,,,,,,43.6,44.8,,,42.1,,,,37.4,38.8,39.5,40.0,40.8,42.0,40.9,,,
Iceland,ISL,Gini index,SI.POV.GINI,,,,26.8,28.0,29.0,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,26.8,27.2,26.1,,,,,
Israel,ISR,Gini index,SI.POV.GINI,,38.9,39.6,40.7,41.5,42.3,41.6,41.1,41.6,42.6,42.5,41.4,41.6,40.2,39.8,39.7,39.0,38.2,38.6,,,,
Italy,ITA,Gini index,SI.POV.GINI,35.3,,,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,35.2,35.9,35.2,34.6,35.2,,
Jordan,JOR,Gini index,SI.POV.GINI,,,37.0,,,,33.9,,32.6,,33.7,,,,,,,,,,,,
Kazakhstan,KAZ,Gini index,SI.POV.GINI,,36.0,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28.0,28.0,28.2,27.1,27.0,26.8,27.2,27.5,27.8,,,,
Kyrgyz Republic,KGZ,Gini index,SI.POV.GINI,31.0,30.2,30.3,28.7,34.8,32.6,37.4,33.9,31.5,29.9,30.1,27.8,27.4,28.8,26.8,29.0,26.8,27.3,27.7,29.7,29.0,,
"Korea, Rep.",KOR,Gini index,SI.POV.GINI,,,,,,,31.7,,32.3,,32.0,,31.6,,31.2,,31.4,,,,,,
Lao PDR,LAO,Gini index,SI.POV.GINI,,,32.6,,,,,35.4,,,,,36.0,,,,,,38.8,,,,
Sri Lanka,LKA,Gini index,SI.POV.GINI,,,40.2,,,,39.7,,,36.1,,,38.7,,,,39.3,,,37.7,,,
Lithuania,LTU,Gini index,SI.POV.GINI,,,,,37.0,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,38.4,37.3,35.7,35.3,36.0,,
Luxembourg,LUX,Gini index,SI.POV.GINI,30.4,,,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32.0,31.2,32.9,31.7,34.5,35.4,34.2,33.4,,
Latvia,LVA,Gini index,SI.POV.GINI,,,,,36.4,39.0,35.6,37.5,37.2,36.0,35.0,35.8,35.2,35.5,35.1,34.2,34.3,35.6,35.1,34.5,35.7,,
Moldova,MDA,Gini index,SI.POV.GINI,36.4,38.0,35.8,34.9,35.0,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27.0,26.3,25.9,25.7,26.0,,25.7,
Madagascar,MDG,Gini index,SI.POV.GINI,,47.4,,,,39.9,,,,,42.4,,42.6,,,,,,,,,,
Maldives,MDV,Gini index,SI.POV.GINI,,,41.3,,,,,,,38.4,,,,,,,31.3,,,29.3,,,
Mexico,MEX,Gini index,SI.POV.GINI,52.6,,50.1,,50.0,50.1,48.9,,49.9,,47.2,,48.7,,48.7,,47.7,,46.7,,45.4,,
